epoch,alpha,beta,loss,lr,predictions_coarse_acc,predictions_coarse_loss,predictions_fine_acc,predictions_fine_loss,time_elapsed,val_loss,val_predictions_coarse_acc,val_predictions_coarse_loss,val_predictions_fine_acc,val_predictions_fine_loss
10,0.6,0.4,0.12745655184984206,0.001,0.9864999998410543,0.03909648983677228,0.9038750001589457,0.25999663762251535,2.9187021255493164,0.15732903893788655,0.978083333492279,0.06474393759171168,0.8907499995231628,0.29620668005943296
11,0.2,0.8,0.11805543458461762,0.001,0.9876874998410543,0.035797716697057086,0.9085833331743877,0.24144200543562572,2.9222612380981445,0.15142629834016164,0.9771666669845581,0.06594939689834912,0.8973333334922791,0.2796416433652242
12,0.2,0.8,0.19829008122285208,0.001,0.9866041666666666,0.038228011603156725,0.9113749998410543,0.23830559476216634,2.9086267948150635,0.2771389326254527,0.9766666665077209,0.0678317868411541,0.8779166671435038,0.3294657148520152
13,0.2,0.8,0.18374858355522156,0.001,0.9876041666666666,0.0358263702193896,0.9165,0.22072913392384846,2.9163601398468018,0.26562574942906697,0.970416666507721,0.08846609256664911,0.8935833328564962,0.30991566061973574
14,0.2,0.8,0.16810049053033194,0.001,0.9885625001589458,0.034218691299359005,0.9250416665077209,0.20157093703746795,2.916637659072876,0.2204668484131495,0.9807499998410543,0.05670291023949782,0.906,0.26140783047676086
15,0.2,0.8,0.1562678953409195,0.001,0.988770833492279,0.03225473094979922,0.929375,0.1872711814244588,2.945859670639038,0.21786977144082387,0.980416666507721,0.05575580230355263,0.9044999998410542,0.2583982592423757
16,0.2,0.8,0.14542770949999492,0.001,0.9892708331743876,0.03164360345900059,0.9349375001589457,0.17387373252709706,2.929044723510742,0.22888281734784444,0.9786666661898296,0.05970663620531559,0.8999999995231629,0.27117686065038044
17,0.2,0.8,0.14013618910312653,0.001,0.989708333492279,0.030726807514826458,0.9373541666666667,0.16748853210608164,2.9039361476898193,0.22581306429704032,0.9787500004768371,0.060882108718156816,0.9009166661898295,0.26704579989115396
18,0.2,0.8,0.12828136189778647,0.001,0.9909166668256124,0.027755509917934736,0.9430624998410543,0.15341282345851262,3.9172868728637695,0.22606601468722026,0.9785833334922791,0.06594677709539731,0.9101666666666667,0.26609581859906517
19,0.2,0.8,0.12280897523959478,0.001,0.990979166507721,0.02777436845501264,0.9449583333333333,0.1465676241715749,2.9130702018737793,0.21659672518571219,0.9799999995231629,0.06009316403170427,0.9108333336512248,0.2557226132551829
20,0.2,0.8,0.11300423763195673,0.001,0.9912708331743876,0.02617506100734075,0.9501458331743876,0.13471152969201405,2.9050676822662354,0.2532470209201177,0.9749166668256124,0.07603559179107348,0.9002500003178915,0.2975498785972595
21,0.0,1.0,0.11036622883876165,0.001,0.9915416666666667,0.025348197668790817,0.9505208331743876,0.13162073463201523,2.9081382751464844,0.23758857838312786,0.9793333331743876,0.06536166011293729,0.9065833336512248,0.280645304997762
22,0.0,1.0,0.12689465673764547,0.001,0.9920000001589457,0.02446136964360873,0.9528125,0.12689465673764547,2.884519338607788,0.3324427529970805,0.9792499996821086,0.06360195381442706,0.9000833328564962,0.3324427529970805
23,0.0,1.0,0.12384685228268305,0.001,0.9920000001589457,0.02550216401120027,0.9534791665077209,0.12384685228268305,2.9028916358947754,0.2712035064697266,0.9770000004768371,0.06829263239105543,0.9125000001589457,0.2712035064697266
24,0.0,1.0,0.1135516960422198,0.001,0.9916666666666667,0.025048869515458743,0.9572499998410543,0.1135516960422198,2.909852981567383,0.3035103259086609,0.9765000003178914,0.07971355690558751,0.9057499998410543,0.3035103259086609
25,0.0,1.0,0.1064801227847735,0.001,0.9916458334922791,0.026172027761737507,0.9608749998410543,0.1064801227847735,2.8791608810424805,0.3201469083627065,0.9791666663487752,0.06257595072189967,0.899916666507721,0.3201469083627065
26,0.0,1.0,0.09853162471453349,0.001,0.9925416666666667,0.024164919962485633,0.9627499998410542,0.09853162471453349,2.8898258209228516,0.30392624298731485,0.9779999998410542,0.0650138800740242,0.9062499998410543,0.30392624298731485
27,0.0,1.0,0.09727467666069667,0.001,0.9917291666666667,0.025384325762589772,0.9644375001589457,0.09727467666069667,2.8794405460357666,0.29898168230056765,0.9794999996821085,0.06627097126841545,0.9114999998410542,0.29898168230056765
28,0.0,1.0,0.09314758135875066,0.001,0.9918541668256123,0.025055052846670152,0.965791666507721,0.09314758135875066,2.895977258682251,0.37039625803629556,0.9761666671435039,0.082509204129378,0.9009166668256123,0.37039625803629556
29,0.0,1.0,0.08833521842956543,0.001,0.9922916665077209,0.023655629336833954,0.966625,0.08833521842956543,2.9105772972106934,0.30400853117307025,0.9778333338101705,0.0693958038687706,0.9132500003178914,0.30400853117307025
