epoch,alpha,beta,loss,lr,predictions_coarse_acc,predictions_coarse_loss,predictions_fine_acc,predictions_fine_loss,time_elapsed,val_loss,val_predictions_coarse_acc,val_predictions_coarse_loss,val_predictions_fine_acc,val_predictions_fine_loss
0,0.95,0.05,0.28855965673923495,0.001,0.9231458331743876,0.26901411066452663,0.77325,0.6599250605106354,5.148517370223999,0.1436782994667689,0.9679166671435038,0.12773668976624808,0.8475833336512247,0.4465689055919647
1,0.884889,0.11511096,0.12997299273808796,0.001,0.9666666665077209,0.11639153661330541,0.8652083333333334,0.3880206868648529,3.8469560146331787,0.11797841455539068,0.9709166671435038,0.10619856115182241,0.8771666663487753,0.34179565000534057
2,0.8352892,0.16471083,0.12103558131059011,0.001,0.9721458331743876,0.09363932110865911,0.8825208331743876,0.33163804014523823,3.823338508605957,0.10892734148104985,0.9743333330154419,0.07790990461905797,0.8781666665077209,0.34736677511533104
3,0.77559984,0.22440018,0.11282621816794078,0.001,0.9754791666666667,0.0781791152159373,0.8964583331743876,0.2885301944414775,3.7989025115966797,0.10214273063341776,0.9776666668256124,0.06574739835659663,0.8935833338101705,0.2867124145825704
4,0.72242063,0.27757937,0.11146789497137069,0.001,0.9785,0.06847638001044591,0.9067500001589457,0.2600605134963989,3.7935590744018555,0.11521395929654439,0.977333333492279,0.06655192817250888,0.8962500003178915,0.28340572317441304
5,0.6737042,0.3262958,0.11111963331699372,0.001,0.9799583333333334,0.06163135543465614,0.9136666666666666,0.23991649993260702,3.817521095275879,0.12510014220078786,0.9770000001589457,0.06523732695976893,0.8938333328564961,0.28089749948183695
6,0.6297729,0.37022713,0.10904260243972143,0.001,0.9815625,0.05676859123508136,0.920645833492279,0.21697295999526978,3.920200824737549,0.12923944214979807,0.9801666668256124,0.05898431529601415,0.9011666665077209,0.2742954787413279
7,0.5772719,0.42272812,0.10599818233648936,0.001,0.983166666507721,0.051871338744958244,0.9267291668256123,0.19807035446166993,3.889287233352661,0.1479126580953598,0.9808333331743876,0.05674080946048101,0.89125,0.30300003639856976
8,0.5333805,0.46661946,0.10770031732320785,0.001,0.9840833331743876,0.0480791217982769,0.9310416668256124,0.18911822696526845,3.917415142059326,0.1434370681444804,0.981416666507721,0.05543357038497925,0.9071666669845581,0.263613468170166
9,0.5033773,0.49662265,0.10427425148089726,0.001,0.9856041666666666,0.0450627980530262,0.9364375001589457,0.17195732072989145,3.8443357944488525,0.1591481937567393,0.9802500004768372,0.06024406835436821,0.9055000003178915,0.2722029252847036
10,0.45558447,0.54441553,0.10123281218608221,0.001,0.9857291665077209,0.04252753253281116,0.9415208334922791,0.1607365610996882,3.9303340911865234,0.17586516908804575,0.981083333492279,0.05736845769484838,0.8987499996821086,0.295973596016566
11,0.41765022,0.5823498,0.09932790523767471,0.001,0.987125,0.038623768851161006,0.9450833333333334,0.15012708377838135,4.012385845184326,0.1969811400969823,0.9805833331743876,0.05604839051763217,0.8976666669845581,0.31491820406913756
12,0.3960615,0.6039385,0.09786973178386688,0.001,0.987770833492279,0.036624070475498836,0.9482083334922791,0.1417939591606458,3.884873628616333,0.17822305583953857,0.9814999998410543,0.0539602214495341,0.9105833336512248,0.2673420026302338
13,0.36519128,0.6348087,0.09198633648951848,0.001,0.9881041665077209,0.0356750534872214,0.9519374998410542,0.12891514392693837,3.869748115539551,0.18335426187515258,0.9807499998410543,0.05723830485343933,0.9122499998410543,0.26606081128120423
14,0.3127729,0.68722713,0.0923347399632136,0.001,0.9889375001589458,0.03416636003057162,0.9538750001589458,0.12579770946502686,4.606909513473511,0.20952929298082987,0.9809999998410542,0.05904533545176188,0.9026666668256124,0.29609935243924457
15,0.2945845,0.7054155,0.09184941585858664,0.001,0.9893333333333333,0.03176360633472602,0.9560208334922791,0.11919584822654725,3.8407578468322754,0.20671567956606546,0.9809999998410542,0.05648026317358017,0.9084166666666667,0.27509127044677734
16,0.2782832,0.7217168,0.08416763069232305,0.001,0.9904583331743876,0.029896286010742186,0.9604375,0.10683157549301783,3.9047279357910156,0.24583831667900086,0.9799166665077209,0.05886846847335497,0.8950833330154419,0.32391772119204204
17,0.2399776,0.7600224,0.08131889895598093,0.001,0.9904791668256124,0.029491739253203073,0.9626875,0.10130267320076625,3.857370615005493,0.24506706070899964,0.9801666668256124,0.06284332966804504,0.90575,0.3153297945658366
18,0.20761396,0.79238605,0.0774386798342069,0.001,0.9912083334922791,0.027059737354516982,0.9654166668256123,0.0933458654085795,4.151116132736206,0.27077926580111183,0.9801666668256124,0.06486852670709292,0.9055833338101705,0.33579572224617005
19,0.19159818,0.8084018,0.06705659127235412,0.0005,0.9916458334922791,0.025435448388258616,0.9722499998410543,0.077961792131265,3.852416515350342,0.23727860887845356,0.9813333331743876,0.057756988257169725,0.9149166671435038,0.28431526708602906
20,0.14120652,0.8587935,0.059037333130836485,0.0005,0.9930208333333334,0.02347628103196621,0.9762916668256124,0.06746560806035995,3.8150811195373535,0.264441886027654,0.981166666507721,0.058763473679622015,0.9085000003178915,0.3131894335746765
