epoch,acc,loss,lr,time_elapsed,val_acc,val_loss
0,0.042422222211625844,4.777958749135335,0.001,36.307358741760254,0.11899999995231629,3.9831714416503905
1,0.09524444446033901,4.161556643591987,0.001,32.852959871292114,0.15860000014305115,3.6921899528503417
2,0.12662222224871317,3.900401157336765,0.001,32.79753661155701,0.19199999980926513,3.4594666648864747
3,0.1569333333624734,3.6866840640174017,0.001,32.77275204658508,0.2196,3.3334944934844972
4,0.18448888890743256,3.512270408799913,0.001,32.75653791427612,0.24000000038146974,3.20630690536499
5,0.20735555552641552,3.354116782209608,0.001,32.75997018814087,0.264400000333786,3.0682504444122314
6,0.23235555551317003,3.213264816962348,0.001,32.84576368331909,0.2664000003814697,3.036484010696411
7,0.256333333296246,3.0697641927083335,0.001,32.791332721710205,0.2820000000953674,2.9596955757141115
8,0.2759111110740238,2.953413663313124,0.001,32.79815888404846,0.30159999985694885,2.835795128250122
9,0.2963777777512868,2.829395798280504,0.001,32.788718700408936,0.3149999998569489,2.8000239765167234
10,0.3190444444179535,2.7160675298055015,0.001,32.78343653678894,0.32760000023841856,2.7435191219329833
11,0.3425777777936723,2.6060870871649846,0.001,32.80732560157776,0.34819999980926514,2.5939869445800783
12,0.36131111114819847,2.4959332008361814,0.001,32.808330059051514,0.350999999666214,2.5937868812561033
13,0.3818000000635783,2.4017280648125543,0.001,32.77854657173157,0.3686000002384186,2.5229456142425537
14,0.40188888892067803,2.3011971374087863,0.001,32.75408959388733,0.3807999999523163,2.4261339069366454
15,0.42517777780426874,2.206152259148492,0.001,32.83213710784912,0.3512000002861023,2.5730242107391357
16,0.44460000003708733,2.112112731085883,0.001,32.78968405723572,0.4030000003814697,2.336246566772461
17,0.4647999999947018,2.0252807033750746,0.001,32.75806450843811,0.39720000019073487,2.3350266761779785
18,0.48391111108462015,1.9317910746680365,0.001,32.716673612594604,0.4062000001907349,2.3049345794677736
19,0.5048666666666667,1.8441239426083036,0.001,32.702847957611084,0.41440000038146974,2.287382819366455
20,0.5280222222328186,1.7483060555987888,0.001,32.794682025909424,0.41640000019073486,2.266022222518921
21,0.5532000001165602,1.665513696331448,0.001,32.827062368392944,0.41660000019073484,2.259458697128296
22,0.5706888887723287,1.5782084520551893,0.001,32.786319732666016,0.41479999980926513,2.2530336143493654
23,0.5965555555661519,1.4909625217013889,0.001,32.727099895477295,0.4307999997615814,2.2067771808624266
24,0.6163333332909479,1.4062169913397895,0.001,32.789339542388916,0.4389999999523163,2.1866680248260497
25,0.638777777894338,1.325648681555854,0.001,32.80381727218628,0.43820000033378603,2.161503896331787
26,0.6614444444126553,1.2399026110543145,0.001,32.77807021141052,0.4413999997615814,2.1501450313568116
27,0.6857999998728435,1.1604481782065497,0.001,32.75858736038208,0.44100000038146975,2.1528369049072267
28,0.7060444443172879,1.0805845344967313,0.001,32.73348569869995,0.44680000014305116,2.1363223152160646
29,0.7265111111640931,1.00695442126592,0.001,32.75156116485596,0.440400000333786,2.1746621925354006
30,0.7509555555767483,0.931813916736179,0.001,32.73906469345093,0.4504000003814697,2.1416767581939697
31,0.7736444444444445,0.8600219864845275,0.001,32.75349569320679,0.4464,2.1620635704040527
32,0.7931333333863152,0.7914244199222988,0.001,32.71705484390259,0.4504000003814697,2.136557562637329
33,0.8118888888041178,0.7273917535463968,0.001,32.786532163619995,0.45059999976158144,2.135521688079834
34,0.8294444443278842,0.6706079023043314,0.001,32.716981649398804,0.44519999990463255,2.1863873168945314
35,0.8490888888676962,0.6090434881422255,0.001,32.79247188568115,0.4531999999523163,2.152335818481445
36,0.8660222221798367,0.553712165874905,0.001,32.775747537612915,0.4523999997138977,2.175710897827148
37,0.8803111111746894,0.5069733207490709,0.001,32.78332018852234,0.4505999997138977,2.1694824127197267
38,0.8915555554707845,0.4655609178013272,0.001,32.761884927749634,0.45820000038146974,2.17821900062561
39,0.9060444443384806,0.4202850059774187,0.001,32.6899254322052,0.4537999997615814,2.1820046577453613
40,0.9168666666878594,0.38655927997165257,0.001,32.74896454811096,0.45159999976158144,2.1993905101776123
41,0.925088889005449,0.35189543005095586,0.001,32.760010719299316,0.4561999999523163,2.1829079360961914
42,0.9347777777353923,0.3235628571775224,0.001,32.772231340408325,0.4589999997615814,2.1987631076812746
43,0.9429111111005147,0.29266139560805426,0.001,33.275059938430786,0.45800000014305114,2.2187233470916747
44,0.9535111110157437,0.25023502877553305,0.0005,32.74075508117676,0.46500000014305115,2.177024513244629
45,0.9620888888359069,0.22554416977829403,0.0005,32.77106213569641,0.466000000333786,2.2003868072509767
46,0.9645111110369364,0.2158692166487376,0.0005,32.944899797439575,0.46219999990463256,2.1898943462371827
47,0.9669111110157437,0.20484691787295872,0.0005,32.852033376693726,0.46619999995231626,2.1853195011138915
48,0.9698444443914626,0.19434304954475826,0.0005,33.060697078704834,0.462800000333786,2.200393659210205
49,0.9713777778625489,0.1846502464585834,0.0005,32.64915204048157,0.4629999997138977,2.1975037239074706
