epoch,alpha,beta,loss,lr,predictions_coarse_acc,predictions_coarse_loss,predictions_fine_acc,predictions_fine_loss,time_elapsed,val_loss,val_predictions_coarse_acc,val_predictions_coarse_loss,val_predictions_fine_acc,val_predictions_fine_loss
0,0.95,0.05,0.2600471458832423,0.001,0.9315208334922791,0.23883900042374928,0.766104166507721,0.6630019482771555,5.81335711479187,0.12601715258757273,0.9705000004768372,0.11032922089099884,0.8472500001589457,0.42408785796165466
1,0.93048644,0.06951354,0.12248126689592997,0.001,0.9681041668256124,0.10905891754229864,0.866145833492279,0.3775059284369151,4.524681806564331,0.09920779852072398,0.9742500001589457,0.0867181106209755,0.8791666671435038,0.3365118958950043
2,0.8908695,0.10913048,0.10176793956756591,0.001,0.9739999998410542,0.08564216876029969,0.886125,0.31762248460451764,4.436962604522705,0.08463889612754186,0.9771666671435039,0.06930361399054527,0.8929999995231629,0.2899122157096863
3,0.8506274,0.14937258,0.09539695489406586,0.001,0.97725,0.07310771862665812,0.9001458333333333,0.277351647456487,4.3452348709106445,0.0896736464301745,0.9779999996821086,0.06490568953752518,0.8929166668256124,0.291862980445226
4,0.8098763,0.19012368,0.09269784257809321,0.001,0.9793958334922791,0.06520493242144584,0.9099375,0.24926087176799774,4.169226169586182,0.09632214601834616,0.9771666663487752,0.06534763715664546,0.9000833334922791,0.27271173540751137
5,0.76982415,0.23017582,0.08895558257897695,0.001,0.9812916666666667,0.05697554047902425,0.9166041665077209,0.2251820613940557,4.2675580978393555,0.1113857071797053,0.978333333492279,0.06251590998967489,0.8815,0.31955805118878683
6,0.73813844,0.26186156,0.08702719509601593,0.001,0.9830208333333333,0.052259651511907576,0.9250624998410543,0.20330742359161377,4.255069971084595,0.10474986890951793,0.9795833334922791,0.059537563264369965,0.90275,0.2559626554648081
7,0.6977695,0.30223048,0.08234805852174759,0.001,0.9849374998410543,0.04731385247906049,0.9337291666666667,0.18110288814703623,4.192244291305542,0.1066434890627861,0.9794999998410543,0.05843527604142825,0.91175,0.24253336143493653
8,0.65835804,0.34164196,0.08250370047489802,0.001,0.9854166668256124,0.043709890365600586,0.9361249998410542,0.17206825538476309,4.095642328262329,0.11380842963854472,0.980083333492279,0.05706033084789912,0.9110833336512247,0.24482464814186097
9,0.63302356,0.36697644,0.0805096943974495,0.001,0.9860833333333333,0.040845123877127965,0.9419583334922791,0.156944943467776,4.029770851135254,0.13807700192928316,0.9796666665077209,0.06944097518920898,0.9044999995231628,0.2703414332866669
10,0.59422183,0.40577817,0.07679550671577454,0.001,0.9873333331743877,0.03880335636436939,0.9479375001589457,0.14233084817727407,3.975625514984131,0.16046924555301667,0.9802500001589457,0.05870721337199211,0.8844166668256124,0.33600575931866966
11,0.54893166,0.45106834,0.07428983068466187,0.001,0.9878749998410543,0.036036760980884236,0.951125,0.13030765144030254,4.006726264953613,0.15398279356956482,0.9810833331743876,0.06041703162590663,0.9016666663487752,0.29100055670738223
12,0.5149305,0.48506948,0.07363159505526225,0.001,0.9882916668256124,0.034119500915209454,0.9551458333333334,0.1217161921262741,4.601471185684204,0.19371507374445598,0.9805833334922791,0.058857664535442986,0.88675,0.35783101121584576
13,0.482472,0.517528,0.06982894220948219,0.001,0.9894375,0.03123940793176492,0.9595416668256124,0.11079406237602234,4.048348665237427,0.17870954724152882,0.9802499998410543,0.060266759167114894,0.9036666661898295,0.3044437137444814
14,0.4540782,0.5459218,0.07080332640806834,0.001,0.9890208331743876,0.031977784315745036,0.9593750001589457,0.10699892791112264,4.116523504257202,0.19285748442014058,0.9792499998410543,0.06160922097166379,0.9045833331743877,0.3152153285344442
15,0.40796155,0.59203845,0.06598028268416722,0.001,0.9910000001589457,0.02868679155409336,0.9639375001589457,0.0969996722539266,5.265380382537842,0.1676539016564687,0.9795833328564961,0.0631860723644495,0.9177500001589457,0.25454650100072224
16,0.38814682,0.6118532,0.06439085158705711,0.001,0.9904374998410542,0.028058889076113702,0.967,0.08942646145820618,4.041592597961426,0.19110106015205383,0.9798333336512248,0.06676608827710152,0.9150833336512247,0.2767777373790741
17,0.34410763,0.6558924,0.060827926596005756,0.001,0.9908333334922791,0.026922816187143327,0.9697499998410543,0.08233661723136902,4.421037912368774,0.19136848493417105,0.9788333334922791,0.06407101947069169,0.9168333328564962,0.2721233253479004
18,0.30815727,0.69184273,0.049408604582150774,0.0005,0.9918124998410542,0.024215221628546713,0.9793749998410543,0.06262607024113337,3.952965497970581,0.18846737257639568,0.9794166668256123,0.06411873770753543,0.9235,0.2537056883970896
19,0.2300815,0.7699185,0.04474601870775223,0.0005,0.9937083333333333,0.021160421828428904,0.9799583331743876,0.055251401583353676,3.977513074874878,0.2064621982574463,0.9810833328564962,0.060743717908859254,0.9218333330154419,0.27136742234230044
20,0.21611656,0.78388345,0.04213020725051562,0.0005,0.9938958331743876,0.020653078297773998,0.9834791665077209,0.04854840615391731,3.9767448902130127,0.22330521607398987,0.9805833331743876,0.06214442902803421,0.9174166661898295,0.271466304063797
21,0.1675069,0.8324931,0.041317772448062895,0.0005,0.9938958334922791,0.019539862578113874,0.9832708333333333,0.04732193851470947,4.207855701446533,0.23165116914113362,0.980416666507721,0.06455166087547938,0.9217499995231628,0.2777204772631327
22,0.16254199,0.837458,0.03793716186285019,0.0005,0.9938749998410543,0.019829013362526893,0.9863541666666666,0.041580721726020176,4.216874837875366,0.24801287213961284,0.9793333331743876,0.06784918586413066,0.9201666666666667,0.28426380674044294
23,0.11150923,0.88849074,0.03703844098250071,0.0005,0.994604166507721,0.01892293268442154,0.9866250001589457,0.040554475098848346,4.205946922302246,0.24975449069341024,0.9798333331743876,0.06511099979281426,0.9229166671435038,0.28559189558029174
