epoch,alpha,beta,loss,lr,predictions_coarse_acc,predictions_coarse_loss,predictions_fine_acc,predictions_fine_loss,time_elapsed,val_loss,val_predictions_coarse_acc,val_predictions_coarse_loss,val_predictions_fine_acc,val_predictions_fine_loss
0,0.95,0.05,0.2277670388619105,0.001,0.933895833492279,0.20252418271700542,0.751625,0.7073813393910726,7.304641008377075,0.12468048912286758,0.9680833338101705,0.10478449312845865,0.8005833328564962,0.5027044331232706
1,0.89179367,0.108206354,0.11294129308064779,0.001,0.968166666507721,0.0985272467136383,0.8602083334922791,0.3868081894715627,5.361819267272949,0.09433602007230123,0.9741666671435039,0.08136553639173508,0.8770833338101705,0.3407752130826314
2,0.81564593,0.18435404,0.10794789556662242,0.001,0.9726666666666667,0.08170966680844625,0.8827916666666666,0.3241929075717926,5.406551361083984,0.09654154749711355,0.9758333334922791,0.07041807155807812,0.8810833336512248,0.31184080060323077
3,0.7390067,0.26099333,0.1099428693652153,0.001,0.9769374998410543,0.07102928801377614,0.8966250001589458,0.2821100107828776,5.44866681098938,0.1107891599535942,0.9727500001589457,0.07184497118989626,0.8908333336512247,0.28309172375996905
4,0.66841507,0.3315849,0.10937049190203349,0.001,0.9791666668256124,0.06137563723325729,0.910020833492279,0.2452686590751012,5.4806952476501465,0.1218517081340154,0.9740000004768372,0.0676538692911466,0.897583333492279,0.2753137155373891
5,0.6062415,0.39375848,0.11005843464533488,0.001,0.9816666665077209,0.054318229585886,0.9169583331743876,0.22242059806982675,5.554590702056885,0.13102876742680866,0.9788333331743876,0.06131832458575567,0.8965833338101705,0.2715524014631907
6,0.5564858,0.44351423,0.11007229840755463,0.001,0.9828125001589457,0.04942932446797689,0.9241250001589457,0.20343991267681122,5.561504125595093,0.14599664175510407,0.975083333492279,0.07453277464707693,0.9098333338101705,0.25602440508206686
7,0.5064602,0.49353978,0.10528510781129201,0.001,0.9846458331743876,0.04490344475209713,0.9343124998410542,0.18104713388284047,5.519191741943359,0.14374908590316773,0.980083333492279,0.05648322645823161,0.9079166663487752,0.25324322962760926
8,0.45218387,0.5478161,0.10309528940916061,0.001,0.9862083331743876,0.04054002360999584,0.9378958331743876,0.1672882016301155,5.5271711349487305,0.16874634385108947,0.9767500001589458,0.06588103227814039,0.9005833333333333,0.27430458315213524
9,0.41794264,0.58205736,0.10078465712070465,0.001,0.9870624998410543,0.038098713919520376,0.943020833492279,0.15252752415339152,5.724722146987915,0.1635857443412145,0.9800833331743876,0.05523512997229894,0.9104166669845581,0.2530216076374054
10,0.36819956,0.6318004,0.09640647192796072,0.001,0.9882083333333334,0.03428009878098965,0.947708333492279,0.14101592528820037,5.745038270950317,0.16411935369173686,0.979166666507721,0.05635225607454777,0.9143333338101705,0.24150084694226584
11,0.34314138,0.6568586,0.09763297106822331,0.001,0.989229166507721,0.03218303791681926,0.9477499998410542,0.13577577469746271,6.314465522766113,0.18514835051695505,0.9795833328564961,0.06283408132195473,0.9101666666666667,0.2564304587841034
12,0.32054016,0.67945987,0.08802864873409272,0.001,0.9894375001589457,0.029736296425263088,0.955625,0.1184804338812828,5.5450170040130615,0.18770857914288838,0.9795000001589457,0.05979558564225833,0.9073333331743876,0.2545300228595734
13,0.27114558,0.7288544,0.08297373880942663,0.001,0.9905208331743877,0.02852705782651901,0.9593125001589458,0.10865935512383779,5.549997091293335,0.1994712345600128,0.9800833338101705,0.05552566895882289,0.9102499995231629,0.26737859853108725
14,0.22987837,0.77012163,0.08161078254381815,0.001,0.9905416666666667,0.026435135210553806,0.9627708331743876,0.10213701264063517,5.517611026763916,0.21146874777475994,0.980416666507721,0.061696761161088944,0.9162499996821085,0.267186341047287
15,0.21162869,0.7883713,0.07719322301944097,0.001,0.9909583331743876,0.026215180590748788,0.9660625,0.09240997409820556,5.600902318954468,0.23980609941482545,0.9797500004768371,0.05976673705379168,0.9110833334922791,0.2935471595923106
16,0.16274445,0.83725554,0.073361658513546,0.001,0.9916666666666667,0.024630087316036223,0.9679583331743876,0.08644305457671483,5.472394943237305,0.24700900010267893,0.9764166668256123,0.08409547162055969,0.9119999995231628,0.29074114990234373
17,0.1440617,0.8559383,0.06831101719538371,0.001,0.9925416668256124,0.022257851074139277,0.9717291666666666,0.0772627620001634,5.452468633651733,0.27251713871955874,0.9789166669845581,0.07379437530040742,0.9109999996821085,0.3111445657412211
18,0.12565999,0.87434,0.06897048642237981,0.001,0.9920624998410543,0.022700037697951,0.9716041666666667,0.07675819528102874,5.503947734832764,0.27982870213190714,0.9777500001589458,0.07696161159873009,0.9087500003178914,0.31397295427322386
19,0.105654456,0.8943455,0.06266394507884979,0.001,0.9920000001589457,0.02268268521130085,0.975354166507721,0.06841004564364751,5.448052167892456,0.27320629874865215,0.9778333328564962,0.07525388656556606,0.9116666671435039,0.3016559895674388
20,0.070470855,0.92952913,0.06176457227269808,0.001,0.9929375,0.021540769204497337,0.9752500001589457,0.06651645498474439,5.935630559921265,0.2798547785282135,0.9792499995231628,0.06163894988596439,0.9075833330154419,0.3056339480082194
21,0.065857224,0.93414277,0.043281535148620605,0.0005,0.9950624998410543,0.016889991556604703,0.9840208331743876,0.045282371073961256,5.458788633346558,0.2598393580118815,0.9805833331743876,0.06512518708407879,0.9203333331743876,0.2746013270219167
22,0.037540484,0.9624595,0.03750892980893453,0.0005,0.9950416666666667,0.015953304581344127,0.9871875001589457,0.03902860546112061,6.008407354354858,0.26904079381624857,0.9807499998410543,0.06365021572510401,0.9200833338101705,0.2835208631356557
23,0.023270115,0.97672987,0.035370842933654785,0.0005,0.9957291668256124,0.014623866483569146,0.9878125,0.036180073767900466,5.428994417190552,0.31357825938860573,0.9813333331743876,0.06003122228384018,0.9164166668256124,0.3234677959283193
24,0.020644872,0.97935516,0.0333791945874691,0.0005,0.9959791666666666,0.013870675906538963,0.9891041668256124,0.033843976080417636,5.418506622314453,0.30562158330281575,0.9815833328564961,0.06104661070803801,0.9188333328564962,0.31144846479098004
25,0.016598916,0.98340106,0.030082211444775263,0.0005,0.9960416668256123,0.013716370910406112,0.9904791665077209,0.03042720357577006,5.413985729217529,0.33701431719462077,0.9799999998410542,0.06701077454288801,0.9158333331743876,0.34270600016911823
26,0.009202801,0.9907972,0.028042680993676187,0.0005,0.995583333492279,0.014070148567358652,0.9907708331743876,0.028278525446852047,5.344264268875122,0.3278638977209727,0.9795000001589457,0.07352436868349711,0.9159166671435038,0.3321569283803304
27,0.0046373866,0.99536264,0.025283495883146923,0.0005,0.9958541666666667,0.013757509278754394,0.9921666666666666,0.025390551686286927,5.4061784744262695,0.31381242601076764,0.9795833334922791,0.06685445672770342,0.9214166663487753,0.3161062328020732
28,0.0023145021,0.9976855,0.026090474143624306,0.0005,0.9958333333333333,0.01386413340518872,0.9920625001589457,0.02614743588368098,5.369329929351807,0.3222003134091695,0.9801666661898295,0.06625027312338352,0.9197500003178914,0.32339277466138205
29,0.0021320775,0.99786794,0.023825651079416275,0.0005,0.9961874998410543,0.013424846616884072,0.9928333334922791,0.023849779819448788,5.404724359512329,0.33910233481725055,0.9763333328564961,0.07305816856026649,0.9152500001589458,0.3397195296287537
30,0.0011653869,0.9988346,0.022744242121775945,0.0005,0.9958333331743876,0.013793745140234629,0.9927083331743877,0.02276336558163166,5.463567495346069,0.35311524232228597,0.9775000001589457,0.07143504896759986,0.9165833338101705,0.3537170859177907
