epoch,alpha,beta,loss,lr,predictions_coarse_acc,predictions_coarse_loss,predictions_fine_acc,predictions_fine_loss,time_elapsed,val_loss,val_predictions_coarse_acc,val_predictions_coarse_loss,val_predictions_fine_acc,val_predictions_fine_loss
0,0.95,0.05,0.23177409080664316,0.001,0.9323541668256123,0.20633655683199564,0.7479375001589457,0.7150872557163238,6.676580429077148,0.12559161253770193,0.96325,0.1100117793083191,0.8554166663487752,0.4216084864139557
1,0.95,0.05,0.11541416861613592,0.001,0.967,0.1008443454305331,0.8599999998410542,0.39224084218343097,4.840168714523315,0.11624048107862472,0.96525,0.10275127359231313,0.8560833333333333,0.3725354476769765
2,0.95,0.05,0.09604853864510854,0.001,0.9723750001589457,0.08381847363710404,0.8827291666666667,0.32841978534062705,4.860838174819946,0.08566436743736267,0.9752499995231628,0.07263562089204788,0.8724166669845581,0.3332105584939321
3,0.95,0.05,0.08215493188301722,0.001,0.9760416668256123,0.07122056705753009,0.893916666507721,0.2899078733921051,4.872416734695435,0.08121686031421026,0.9770000004768371,0.07005751511454582,0.8919999995231629,0.29324444429079694
4,0.95,0.05,0.07359271318713824,0.001,0.9784166666666667,0.06342952206730842,0.9021249998410543,0.26669335385163623,4.862023115158081,0.08097016723950703,0.9760833338101705,0.06963696898023287,0.8906666661898295,0.29630097015698753
5,0.95,0.05,0.0641610360344251,0.001,0.9808749998410543,0.05476677147547404,0.91125,0.2426520656744639,4.824528217315674,0.07303730633854866,0.9778333334922791,0.06283128504951795,0.901916666507721,0.2669517244497935
6,0.95,0.05,0.05855235409736633,0.001,0.9822708333333333,0.049844232459863025,0.9182291666666667,0.22400667134920757,4.827909469604492,0.07735916369160016,0.9760000004768371,0.06784468660751979,0.9029166661898295,0.2581342696348826
7,0.6,0.4,0.05280628380179405,0.001,0.9836249998410542,0.044850682576497394,0.9250833331743876,0.2039627128839493,4.825348377227783,0.07325415358940761,0.9784999998410543,0.06339689853787422,0.8999166663487752,0.26054203017552696
8,0.6,0.4,0.12470712908109029,0.001,0.9857291665077209,0.041082603534062706,0.9055208334922791,0.2501439139048258,4.7972400188446045,0.1891073278983434,0.9786666668256124,0.05860191159447034,0.8519166669845581,0.3848654390970866
9,0.6,0.4,0.10153207836548488,0.001,0.9870208331743876,0.03665803266565005,0.925270833492279,0.19884314139684042,4.797372102737427,0.1533372735977173,0.9779166668256124,0.06769747337698936,0.9034166663487753,0.2817969647248586
10,0.6,0.4,0.08946888069311777,0.001,0.9876249998410542,0.034217577333251634,0.9353124998410542,0.17234583111604054,4.84437370300293,0.14973167316118877,0.9792499998410543,0.06015937143564224,0.899,0.2840901191234589
11,0.2,0.8,0.08137895180781682,0.001,0.9886874998410543,0.03229069087902705,0.9430416665077209,0.1550113388299942,5.543561220169067,0.14961166683832805,0.9776666668256124,0.06459672716259957,0.9044166661898295,0.27713406801223756
12,0.2,0.8,0.13658534208933512,0.001,0.989875,0.030018160795172055,0.9382083331743876,0.16322713553905488,4.788611888885498,0.24804168725013734,0.9796666668256124,0.06214153108994166,0.8930000001589458,0.2945167181491852
13,0.2,0.8,0.11765878347555796,0.001,0.9902708334922791,0.028527668828765552,0.9473749998410543,0.13994156118234,4.787038564682007,0.2505360085964203,0.9781666668256124,0.06447415080666542,0.9000000004768371,0.297051470597585
